Article,Quantité,Prix de vente,Date
M&ms jaune,9,14,08.03–19.04
M&ms bleu,0,14,
M&ms brun,2,14,08.03–12.07
Maltesees,,15,
Rafael,8,16,14.05
Rocher,0,22,
Chacha,,22,
Bounty,,14–15,
Mars,32,19–20,20.08
Mars big,24,20–22,20.08
Snicker,32,19–20,20.09
Snicker big,24,20–22,
Leo go,,25,
Milka noisette,,27–28,
Côte d’or,,25,
Oreo Golden,0,14–15,
Oreo original,7,,31.03–31.04
Milka Oreo biscuit,,,
Milka sensation,,18–19,
Leo,,19–20,
Knopper,,16,
Teasor Choco,,16,
Kit Kat,,16,
Dragibus,,12–13,
Twix,,19–20,
Twix extra,,25–26,
Nutella go,,14–15,
Nutella biscuit,,19,
Kinder délice,0,10,
Kinder card,,17–18,
Aqua kiss,,22,
Mentos 3 fruits free,,16,
Mentos tablet,,6,
Bubbliche,,9–10,
Hollywood mix,,12–13,
Freedent,,16,
Stirmool,,15–16,
Mentos bottle,,13,
Mentos roll,,20,
Smarties,,15,
Jam breaker,,12–14,
Kinder b/w,,20,
Kinder joy,,31,
Kinder surprise,,42,
Haribo boîte,,14–15,
Lays,,11–12,
Pringles,,9–10,
Pringles big,,34–35,
War head,,18–20,
Chupa chup,,15,
Cable candy,,10,
Brick candy,,14–15,
Toy,,14–15,
Pipe,,15–18,
Grinder,,18,
Bic small,,22–24–26,
Bic big,,29–32,
Sasty lighter,,5–6,
Clipper,,28–32,
Sac small,,14–15,
Sac big,,20,
Club,,52–53,
Top filter,,17–18,
Mascotte filter,,20,
Rizla big,,16–17,
Rizla carton,,19–20,
Top carton,,22–24,
Books,,24,
Rizla small,,22–23,
Raw carton,,15,
Top roll,,16,
Rizla micro,,23–24,
Smoking normal mix,,20,
Smoking + tips,,20–22,
Smoking roll + tips,,25–26,
Top roll tips,,18–20,
Mascotte slim,,29,
Mascotte combi big,,29,
Mascotte combi small,,26,
Mascotte roll tips,,20,
Panasonic,,15,
Duracell,,50,
Durex 12,,18,
Durex 1p,,6.5,
Nesquick,5,15,20.09
Chocapik,1,15,20.09
Crunch,1,,20.03
Pizza,3,,29.04
Atomik balls,6,,2027
Sour choc roky,4,,
Tic tac,12,,
Frisk bleu,3,,
Frisk green,8,,
Stimorol,,16,
Freedent,,21,09.03
Bubblicious jaune,12,,
Bubblicious rose,9,,
Bubblicious cola,2,,
